observation_date,USALOLITONOSTSAM
1955-01-01,101.30090000000000
1955-02-01,101.62100000000000
1955-03-01,101.88620000000000
1955-04-01,102.07310000000000
1955-05-01,102.18140000000000
1955-06-01,102.21769999999999
1955-07-01,102.22029999999999
1955-08-01,102.20760000000000
1955-09-01,102.18450000000000
1955-10-01,102.13639999999999
1955-11-01,102.03270000000001
1955-12-01,101.85150000000000
1956-01-01,101.58680000000000
1956-02-01,101.27970000000001
1956-03-01,100.97920000000001
1956-04-01,100.69900000000000
1956-05-01,100.45640000000000
1956-06-01,100.29000000000001
1956-07-01,100.23040000000000
1956-08-01,100.27860000000000
1956-09-01,100.38549999999999
1956-10-01,100.49840000000000
1956-11-01,100.57320000000000
1956-12-01,100.56699999999999
1957-01-01,100.46250000000001
1957-02-01,100.29970000000000
1957-03-01,100.08270000000000
1957-04-01,99.84571000000000
1957-05-01,99.61492000000000
1957-06-01,99.36835000000001
1957-07-01,99.07580000000000
1957-08-01,98.71835000000000
1957-09-01,98.29863000000000
1957-10-01,97.85729000000001
1957-11-01,97.45750000000000
1957-12-01,97.14787000000000
1958-01-01,96.98372000000001
1958-02-01,96.99688000000000
1958-03-01,97.18298000000000
1958-04-01,97.51980000000000
1958-05-01,97.99330999999999
1958-06-01,98.55898000000001
1958-07-01,99.15711000000000
1958-08-01,99.74894999999999
1958-09-01,100.31710000000000
1958-10-01,100.86220000000000
1958-11-01,101.37309999999999
1958-12-01,101.83900000000000
1959-01-01,102.25980000000000
1959-02-01,102.59550000000000
1959-03-01,102.80830000000000
1959-04-01,102.87560000000001
1959-05-01,102.79040000000001
1959-06-01,102.56260000000000
1959-07-01,102.23099999999999
1959-08-01,101.86340000000000
1959-09-01,101.52430000000000
1959-10-01,101.25140000000000
1959-11-01,101.05100000000000
1959-12-01,100.89330000000000
1960-01-01,100.69130000000000
1960-02-01,100.41650000000000
1960-03-01,100.11210000000000
1960-04-01,99.82441000000000
1960-05-01,99.57290999999999
1960-06-01,99.35302000000000
1960-07-01,99.14601000000000
1960-08-01,98.94968000000000
1960-09-01,98.75539000000001
1960-10-01,98.58868000000000
1960-11-01,98.47929999999999
1960-12-01,98.45916000000000
1961-01-01,98.54543000000000
1961-02-01,98.75620000000001
1961-03-01,99.07895000000001
1961-04-01,99.46701000000000
1961-05-01,99.86288000000000
1961-06-01,100.23110000000000
1961-07-01,100.54810000000001
1961-08-01,100.80710000000001
1961-09-01,100.99600000000000
1961-10-01,101.11279999999999
1961-11-01,101.16280000000000
1961-12-01,101.13420000000001
1962-01-01,101.02000000000000
1962-02-01,100.83700000000000
1962-03-01,100.58740000000000
1962-04-01,100.29450000000000
1962-05-01,99.99861000000000
1962-06-01,99.74097000000000
1962-07-01,99.56328999999999
1962-08-01,99.47347000000001
1962-09-01,99.46961000000000
1962-10-01,99.53916000000000
1962-11-01,99.66576999999999
1962-12-01,99.81844000000000
1963-01-01,99.96941000000000
1963-02-01,100.10030000000000
1963-03-01,100.20359999999999
1963-04-01,100.27570000000000
1963-05-01,100.30289999999999
1963-06-01,100.28500000000000
1963-07-01,100.24160000000001
1963-08-01,100.19680000000000
1963-09-01,100.17230000000001
1963-10-01,100.16430000000000
1963-11-01,100.16830000000000
1963-12-01,100.19670000000001
1964-01-01,100.25980000000000
