observation_date,USALORSGPNOSTSAM
1947-02-01,102.30440000000000
1947-03-01,101.91780000000000
1947-04-01,101.54010000000000
1947-05-01,101.18500000000000
1947-06-01,100.87190000000000
1947-07-01,100.62290000000000
1947-08-01,100.45940000000000
1947-09-01,100.39330000000000
1947-10-01,100.41260000000000
1947-11-01,100.49580000000000
1947-12-01,100.62070000000000
1948-01-01,100.76710000000000
1948-02-01,100.91679999999999
1948-03-01,101.05180000000000
1948-04-01,101.15100000000000
1948-05-01,101.19300000000000
1948-06-01,101.15970000000000
1948-07-01,101.04500000000000
1948-08-01,100.84590000000000
1948-09-01,100.56030000000000
1948-10-01,100.18950000000000
1948-11-01,99.73850000000000
1948-12-01,99.22165000000000
1949-01-01,98.67361000000000
1949-02-01,98.13494000000000
1949-03-01,97.64027000000000
1949-04-01,97.20640000000000
1949-05-01,96.83851000000000
1949-06-01,96.53185999999999
1949-07-01,96.26861000000000
1949-08-01,96.03694000000000
1949-09-01,95.84669000000000
1949-10-01,95.74238000000000
1949-11-01,95.77703000000000
1949-12-01,95.98039000000000
1950-01-01,96.34130999999999
1950-02-01,96.81999999999999
1950-03-01,97.37263000000000
1950-04-01,97.96702999999999
1950-05-01,98.57859000000001
1950-06-01,99.18246000000001
1950-07-01,99.74406999999999
1950-08-01,100.22790000000001
1950-09-01,100.60899999999999
1950-10-01,100.88979999999999
1950-11-01,101.08640000000000
1950-12-01,101.22180000000000
1951-01-01,101.32410000000000
1951-02-01,101.41880000000000
1951-03-01,101.52320000000000
1951-04-01,101.64160000000000
1951-05-01,101.76730000000001
1951-06-01,101.88430000000000
1951-07-01,101.96760000000000
1951-08-01,101.99280000000000
1951-09-01,101.94640000000000
1951-10-01,101.84210000000000
1951-11-01,101.70260000000000
1951-12-01,101.54680000000000
1952-01-01,101.37990000000001
1952-02-01,101.20189999999999
1952-03-01,101.01779999999999
1952-04-01,100.84829999999999
1952-05-01,100.72350000000000
1952-06-01,100.67650000000000
1952-07-01,100.73360000000000
1952-08-01,100.91030000000001
1952-09-01,101.19950000000000
1952-10-01,101.56440000000001
1952-11-01,101.94910000000000
1952-12-01,102.29770000000001
1953-01-01,102.57200000000000
1953-02-01,102.74390000000000
1953-03-01,102.79440000000000
1953-04-01,102.71880000000000
1953-05-01,102.51860000000001
1953-06-01,102.20310000000001
1953-07-01,101.78380000000000
1953-08-01,101.28080000000000
1953-09-01,100.72100000000000
1953-10-01,100.14239999999999
1953-11-01,99.58459000000001
1953-12-01,99.07944999999999
1954-01-01,98.64286000000000
1954-02-01,98.28364999999999
1954-03-01,98.00803999999999
1954-04-01,97.81865999999999
1954-05-01,97.71957000000000
1954-06-01,97.71539000000000
1954-07-01,97.80396000000000
1954-08-01,97.98277000000000
1954-09-01,98.24867000000000
1954-10-01,98.59119000000000
1954-11-01,98.99624000000000
1954-12-01,99.44441000000000
1955-01-01,99.90452999999999
1955-02-01,100.34320000000000
1955-03-01,100.73350000000001
1955-04-01,101.06560000000000
1955-05-01,101.33700000000000
1955-06-01,101.54649999999999
1955-07-01,101.69289999999999
1955-08-01,101.77270000000000
1955-09-01,101.78260000000000
1955-10-01,101.72650000000000
1955-11-01,101.61270000000000
1955-12-01,101.45569999999999
1956-01-01,101.28210000000000
1956-02-01,101.11940000000000
1956-03-01,100.98620000000000
1956-04-01,100.88200000000001
1956-05-01,100.80020000000000
1956-06-01,100.73880000000000
1956-07-01,100.71010000000000
1956-08-01,100.72900000000000
1956-09-01,100.80110000000001
1956-10-01,100.90519999999999
1956-11-01,101.00930000000000
1956-12-01,101.08400000000000
1957-01-01,101.11499999999999
1957-02-01,101.09880000000000
1957-03-01,101.04049999999999
1957-04-01,100.95540000000000
1957-05-01,100.85550000000001
1957-06-01,100.73830000000000
1957-07-01,100.57650000000000
1957-08-01,100.33450000000001
1957-09-01,99.98694999999999
1957-10-01,99.52894999999999
1957-11-01,98.98093000000000
1957-12-01,98.38637000000000
1958-01-01,97.81591000000000
1958-02-01,97.34385000000000
1958-03-01,97.02404000000000
1958-04-01,96.88289000000000
1958-05-01,96.91970999999999
1958-06-01,97.11684000000000
1958-07-01,97.43604999999999
1958-08-01,97.83571999999999
1958-09-01,98.27898999999999
1958-10-01,98.73614999999999
1958-11-01,99.18523999999999
1958-12-01,99.61140000000000
1959-01-01,100.00650000000000
1959-02-01,100.36230000000000
1959-03-01,100.66610000000000
1959-04-01,100.89760000000000
1959-05-01,101.03830000000001
1959-06-01,101.08470000000000
1959-07-01,101.05650000000000
1959-08-01,100.98980000000000
1959-09-01,100.92350000000000
1959-10-01,100.88880000000000
1959-11-01,100.90300000000001
1959-12-01,100.96050000000000
1960-01-01,101.02030000000001
1960-02-01,101.03100000000001
1960-03-01,100.95430000000000
1960-04-01,100.79270000000000
1960-05-01,100.56550000000000
1960-06-01,100.29040000000001
1960-07-01,99.97045000000000
1960-08-01,99.60513000000000
1960-09-01,99.20438000000000
1960-10-01,98.80543000000000
1960-11-01,98.45563000000000
1960-12-01,98.19582000000000
1961-01-01,98.04031000000001
1961-02-01,97.98998000000000
1961-03-01,98.03724000000000
1961-04-01,98.16285999999999
1961-05-01,98.34603000000000
1961-06-01,98.56826000000000
1961-07-01,98.81287000000000
1961-08-01,99.06630000000000
1961-09-01,99.31747000000000
1961-10-01,99.55596000000000
1961-11-01,99.77160000000001
1961-12-01,99.95442000000000
1962-01-01,100.09590000000000
1962-02-01,100.18910000000000
1962-03-01,100.23170000000000
1962-04-01,100.23160000000000
1962-05-01,100.19889999999999
1962-06-01,100.13990000000000
